1,2,3,4,5,6,7,8,9,10
2206,1577,1947,2620,2171,1964,2126,2449,2355,2313
2266,2111,2072,1935,2378,2047,1960,2478,2128,2558
2233,2187,2161,2061,1995,2325,2231,2266,2400,2614
2078,2598,2438,1919,2018,2211,2361,2387,2531,2450
2218,2087,2384,2657,2027,2133,1975,2067,2616,2217
2464,2384,2054,2159,1951,2289,2371,2189,2389,2342
2123,2283,2333,2006,1998,2031,2107,2393,2529,2113
2340,2153,2199,1973,2538,2176,2129,2234,1913,2439
2244,2081,2509,2659,2447,1923,2488,2147,2384,2051
2240,2336,2434,2627,2116,2038,2049,2092,2203,2618
2507,2199,2111,2585,2364,2642,2440,1942,2413,2448
2410,1945,2344,1931,2001,2610,2335,2391,2116,2548
2229,2032,2282,1980,1972,1926,2317,2300,2312,2581
1993,2555,2396,1951,2157,2318,2091,2044,2250,2041
2131,2138,2081,2202,2645,2416,2412,2056,2127,2632
2220,2543,2394,2633,2640,2209,2397,2526,2102,
2088,2068,2235,1927,2024,2419,2236,2476,2610,
2309,2224,2511,2658,2337,2226,2628,2142,2319,
2604,2183,2327,2364,2009,2406,2047,2429,1577,
2073,2047,2537,1957,2365,2525,2341,2303,2535,
2142,2054,2328,2648,2639,2637,2035,2611,,
1985,2510,2132,1972,2004,2242,2146,1988,,
2188,2071,2617,2284,136,2425,2228,2007,,
2090,2292,1939,1914,2583,2145,2644,2443,,
2201,2102,2101,2097,2284,2296,2570,2207,,
2590,2279,2243,2025,2647,1944,2411,2019,,
2369,2463,2603,2225,2459,2366,2497,2084,,
1943,2629,1981,2365,2494,2232,2173,1983,,
2059,2471,2652,1921,1991,2557,2474,2622,,
2560,2007,2390,2626,1973,2272,2313,2401,,
2607,2149,2451,2171,1976,2362,2286,2512,,
2150,2302,2075,2022,2000,2612,2448,2037,,
2586,2333,2280,2640,2636,2117,2587,2576,,
2118,2347,2294,1995,2435,2367,2089,2170,,
2602,2649,2003,1991,2268,2141,2403,2349,,
1946,2289,2479,2660,1927,2322,2023,2650,,
1938,2282,2053,2001,2022,2566,2156,2486,,
2172,1920,1970,2011,1980,2480,2197,2426,,
1962,2328,1959,2346,2050,2345,1936,2288,,
2611,2241,2458,1968,1928,2155,1964,2454,,
2331,2567,2501,2192,1999,2214,2322,2334,,
2030,2319,2377,2647,1914,2036,2160,2499,,
1983,2039,2062,2024,2648,2310,2260,2058,,
2601,2461,2415,2297,2192,2085,2120,2320,,
2324,1941,2222,1954,2011,2174,1922,2584,,
1917,2196,2304,2538,1958,2473,2534,2076,,
2564,2125,2110,2645,2225,2498,2577,2444,,
2625,2133,2221,2004,2006,2186,2405,2427,,
2275,2351,2274,2583,2660,2029,1990,1992,,
2290,2180,2399,1958,2297,2379,2618,2490,,
2428,1948,2608,1998,2012,,2181,2513,,
2593,2117,2592,1999,,,2248,2262,,
2064,2491,2594,2143,,,2503,2350,,
2615,2592,2026,2636,,,2314,,,
2184,2028,2432,,,,2659,,,
2624,2338,2283,,,,2342,,,
2103,2194,,,,,2152,,,
2326,2052,,,,,1978,,,
2542,2169,,,,,2119,,,
2139,2223,,,,,2455,,,
2414,2174,,,,,2162,,,
2104,2643,,,,,2540,,,
2323,2372,,,,,2082,,,
2500,2597,,,,,2562,,,
2271,2511,,,,,2070,,,
2395,1718,,,,,,,,
2093,2127,,,,,,,,
2409,2582,,,,,,,,
2354,2247,,,,,,,,
2492,1932,,,,,,,,
2347,2042,,,,,,,,
2381,1465,,,,,,,,
1984,2533,,,,,,,,
2356,2332,,,,,,,,
2376,2268,,,,,,,,
2600,2398,,,,,,,,
2630,2250,,,,,,,,
1971,2508,,,,,,,,
2045,2436,,,,,,,,
2339,2148,,,,,,,,
2043,1940,,,,,,,,
2140,2135,,,,,,,,
2526,2191,,,,,,,,
2553,1959,,,,,,,,
2655,2509,,,,,,,,
2374,2273,,,,,,,,
2124,2475,,,,,,,,
1979,1926,,,,,,,,
2460,2588,,,,,,,,
2352,2203,,,,,,,,
2638,2151,,,,,,,,
2033,2642,,,,,,,,
2190,2053,,,,,,,,
2363,2010,,,,,,,,
2108,2038,,,,,,,,
2578,2294,,,,,,,,
2278,2143,,,,,,,,
2200,2516,,,,,,,,
2559,2616,,,,,,,,
2520,2134,,,,,,,,
2074,2072,,,,,,,,
2069,2420,,,,,,,,
1966,2246,,,,,,,,
2549,2189,,,,,,,,
2020,1955,,,,,,,,
2619,2512,,,,,,,,
2121,2144,,,,,,,,
2370,2343,,,,,,,,
2550,2254,,,,,,,,
2482,2176,,,,,,,,
2423,2498,,,,,,,,
2446,2327,,,,,,,,
2404,136,,,,,,,,
2154,2589,,,,,,,,
1918,2451,,,,,,,,
2308,2617,,,,,,,,
2543,2315,,,,,,,,
2112,2419,,,,,,,,
2253,2653,,,,,,,,
2037,2344,,,,,,,,
2408,2608,,,,,,,,
1929,2267,,,,,,,,
2573,1954,,,,,,,,
2299,2002,,,,,,,,
2348,2445,,,,,,,,
2005,2458,,,,,,,,
2561,1994,,,,,,,,
2551,2472,,,,,,,,
2276,1947,,,,,,,,
2654,2026,,,,,,,,
2257,2128,,,,,,,,
2095,1916,,,,,,,,
2433,2368,,,,,,,,
2504,2377,,,,,,,,
2359,2465,,,,,,,,
2040,2594,,,,,,,,
2122,2385,,,,,,,,
1986,2215,,,,,,,,
2430,2264,,,,,,,,
2083,2293,,,,,,,,
2307,2417,,,,,,,,
2521,2285,,,,,,,,
2212,2609,,,,,,,,
2386,2399,,,,,,,,
2495,2198,,,,,,,,
2546,,,,,,,,,
2539,,,,,,,,,
2063,,,,,,,,,
2469,,,,,,,,,
2086,,,,,,,,,
2485,,,,,,,,,
2468,,,,,,,,,
1997,,,,,,,,,
2115,,,,,,,,,
2575,,,,,,,,,
2109,,,,,,,,,
2216,,,,,,,,,
2646,,,,,,,,,
2556,,,,,,,,,
2261,,,,,,,,,
2467,,,,,,,,,
2165,,,,,,,,,
2077,,,,,,,,,
2046,,,,,,,,,
2484,,,,,,,,,
2623,,,,,,,,,
2334,,,,,,,,,
2084,,,,,,,,,
2329,,,,,,,,,
1953,,,,,,,,,
2237,,,,,,,,,
1925,,,,,,,,,
2506,,,,,,,,,
2579,,,,,,,,,
2098,,,,,,,,,
2418,,,,,,,,,
2306,,,,,,,,,
2552,,,,,,,,,
2631,,,,,,,,,
2477,,,,,,,,,
2563,,,,,,,,,
2532,,,,,,,,,
2489,,,,,,,,,
1941,,,,,,,,,
2213,,,,,,,,,
2574,,,,,,,,,
2300,,,,,,,,,
2060,,,,,,,,,
2591,,,,,,,,,
2554,,,,,,,,,
2179,,,,,,,,,
2210,,,,,,,,,
2056,,,,,,,,,
2462,,,,,,,,,
2407,,,,,,,,,
2392,,,,,,,,,
2164,,,,,,,,,
1989,,,,,,,,,
1963,,,,,,,,,
2353,,,,,,,,,
2499,,,,,,,,,
